region_name,genre,demand_index,recommendation_rank
경상북도 예천군,무용,0.1410421248129843,2
경상북도 예천군,뮤지컬,0.13443312310411623,3
경상북도 울릉군,클래식 기악,0.6241753890953843,1
경상북도 울릉군,무용,0.1376481229151531,2
경상북도 울릉군,뮤지컬,0.13341675609061063,3
경상북도 울진군,클래식 기악,0.6248468155269591,1
경상북도 울진군,무용,0.13789767884957518,2
경상북도 울진군,뮤지컬,0.13295531113469566,3
경상북도 의성군,클래식 기악,0.647833661357142,1
경상북도 의성군,뮤지컬,0.12292805987057356,2
경상북도 의성군,무용,0.12144761829432113,3
경상북도 청도군,클래식 기악,0.6440229602682712,1
경상북도 청도군,뮤지컬,0.1243685984400227,2
경상북도 청도군,무용,0.12422277059299305,3
경상북도 청송군,클래식 기악,0.6435240744082538,1
경상북도 청송군,뮤지컬,0.12473621619276554,2
경상북도 청송군,무용,0.12444602797732442,3
경상북도 칠곡군,클래식 기악,0.6063561342643489,1
경상북도 칠곡군,무용,0.15136885379142243,2
경상북도 칠곡군,뮤지컬,0.1405835039566223,3
경상북도 포항시,클래식 기악,0.6079371432069643,1
경상북도 포항시,무용,0.15010986530689058,2
경상북도 포항시,뮤지컬,0.14042759960469467,3
경상북도 포항시 남구,클래식 기악,0.6095756000383091,1
경상북도 포항시 남구,무용,0.14885772507373787,2
경상북도 포항시 남구,뮤지컬,0.139752063246037,3
경상북도 포항시 북구,클래식 기악,0.6066592535084451,1
경상북도 포항시 북구,무용,0.15108645320010589,2
경상북도 포항시 북구,뮤지컬,0.14095447400088815,3
광주광역시 광산구,클래식 기악,0.5920342292457226,1
광주광역시 광산구,무용,0.16158030479044458,2
광주광역시 광산구,뮤지컬,0.1475215171862848,3
광주광역시 남구,클래식 기악,0.604072963628982,1
광주광역시 남구,무용,0.15302571452873792,2
광주광역시 남구,뮤지컬,0.1423925195779227,3
광주광역시 동구,클래식 기악,0.6077014746118988,1
광주광역시 동구,무용,0.14937266679315786,2
광주광역시 동구,뮤지컬,0.14214849787337144,3
광주광역시 북구,클래식 기악,0.6023389715239739,1
광주광역시 북구,무용,0.15374377463323538,2
광주광역시 북구,뮤지컬,0.14351992892376275,3
