RNUM,TITLE,PERIOD,RELATION,URL,DESCRIPTION,VIEWCOUNT
11,뮤지컬 원스,20141203~20150329,"10대 이하 : 2건, 20대 : 131건, 30대 : 975건, 40대 : 6986건, 50대 : 6366건, 60대 : 919건, 70대 이상 : 252건 )",https://www.sac.or.kr/site/main/show/show_view?SN=24045,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
12,연극 <멜로드라마> Melodrama,20141231~20150215,"10대 이하 : 0건, 20대 : 30건, 30대 : 1795건, 40대 : 6860건, 50대 : 3057건, 60대 : 486건, 70대 이상 : 76건 )",https://www.sac.or.kr/site/main/show/show_view?SN=24415,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
13,한화생명과 함께하는 11시콘서트(1월),20150108~20150108,"10대 이하 : 4건, 20대 : 31건, 30대 : 62건, 40대 : 96건, 50대 : 220건, 60대 : 382건, 70대 이상 : 428건 )",https://www.sac.or.kr/site/main/show/show_view?SN=21092,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
14,뮤지컬 <바람과 함께 사라지다>,20150108~20150215,"10대 이하 : 0건, 20대 : 224건, 30대 : 1903건, 40대 : 10177건, 50대 : 3671건, 60대 : 927건, 70대 이상 : 482건 )",https://www.sac.or.kr/site/main/show/show_view?SN=23692,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
15,KCO 창단50주년 <특별정기연주회Ⅰ>,20150114~20150114,"10대 이하 : 1건, 20대 : 17건, 30대 : 85건, 40대 : 114건, 50대 : 242건, 60대 : 127건, 70대 이상 : 60건 )",https://www.sac.or.kr/site/main/show/show_view?SN=23981,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
16,이예린 플루트 독주회,20150115~20150115,"10대 이하 : 0건, 20대 : 12건, 30대 : 38건, 40대 : 4건, 50대 : 11건, 60대 : 6건, 70대 이상 : 4건 )",https://www.sac.or.kr/site/main/show/show_view?SN=23881,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
17,김현지 귀국 바이올린 독주회,20150116~20150116,"10대 이하 : 0건, 20대 : 2건, 30대 : 0건, 40대 : 0건, 50대 : 2건, 60대 : 0건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22284,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
18,KBS교향악단 제690회 정기연주회,20150116~20150116,"10대 이하 : 0건, 20대 : 58건, 30대 : 161건, 40대 : 195건, 50대 : 284건, 60대 : 159건, 70대 이상 : 81건 )",https://www.sac.or.kr/site/main/show/show_view?SN=21470,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
19,2015서울국제음악제-빈-베를린 브라스 퀸텟 콘서트,20150116~20150116,"10대 이하 : 0건, 20대 : 20건, 30대 : 108건, 40대 : 45건, 50대 : 133건, 60대 : 30건, 70대 이상 : 23건 )",https://www.sac.or.kr/site/main/show/show_view?SN=23883,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
20,한지은 바이올린 독주회,20150117~20150117,"10대 이하 : 1건, 20대 : 1건, 30대 : 0건, 40대 : 4건, 50대 : 2건, 60대 : 0건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22288,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
21,소노르트리오 창단10주년 기념 연주회,20150117~20150117,"10대 이하 : 0건, 20대 : 0건, 30대 : 6건, 40대 : 2건, 50대 : 9건, 60대 : 0건, 70대 이상 : 2건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22040,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
22,빈 국립 폭스오퍼 심포니 신년음악회,20150117~20150117,"10대 이하 : 0건, 20대 : 23건, 30대 : 197건, 40대 : 127건, 50대 : 154건, 60대 : 135건, 70대 이상 : 134건 )",https://www.sac.or.kr/site/main/show/show_view?SN=21472,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
